,latitude,longitude,max temp,humidity,cloudiness,wind speed,country,date
159,-20.3428,57.7575,81.0,83,20,6.91,MU,1615179171
160,41.2894,141.2169,39.2,56,75,19.57,JP,1615179171
161,26.5412,-77.0636,66.52,65,15,25.23,BS,1615178890
162,26.326,43.975,57.2,51,0,8.05,SA,1615179171
163,-5.1989,-35.4608,75.2,94,75,4.61,BR,1615179172
164,55.7435,-97.8558,24.8,80,1,5.55,CA,1615178938
165,26.1247,127.6694,75.2,73,20,18.41,JP,1615179172
166,41.7597,86.1469,51.48,44,78,3.53,CN,1615179025
167,63.8986,122.7617,-5.6,90,100,6.96,RU,1615179172
168,70.4692,-68.5914,-20.2,76,1,5.82,CA,1615179172
169,-29.9533,-71.3436,62.6,88,90,4.61,CL,1615178916
170,62.6323,17.9379,21.99,68,3,6.91,SE,1615179173
171,50.2001,-66.3821,21.2,63,75,5.75,CA,1615179173
172,64.5011,-165.4064,32.0,93,90,40.29,US,1615179173
173,45.0205,-93.218,48.2,93,1,3.44,US,1615179174
174,34.257,-85.1647,37.4,70,1,3.44,US,1615179174
175,-10.0681,-78.1522,73.09,80,100,6.98,PE,1615179174
176,3.6415,18.5936,68.61,96,98,2.59,CF,1615179174
177,-15.1961,12.1522,77.29,76,65,4.85,AO,1615179174
178,66.9395,-53.6735,12.07,92,100,11.05,GL,1615179175
179,14.8961,-24.4956,69.01,76,0,16.02,CV,1615179175
180,4.3189,17.4695,68.23,81,100,4.09,CF,1615179175
181,-45.8742,170.5036,61.0,59,100,4.0,NZ,1615179061
182,60.1545,-1.1494,41.0,81,90,16.11,GB,1615179175
183,67.5662,30.4758,-5.73,92,97,1.57,RU,1615179175
184,-1.5746,9.2618,76.78,88,99,4.76,GA,1615179175
185,-34.0033,24.7314,66.0,79,70,5.01,ZA,1615179176
186,36.54,-4.6247,55.0,93,0,5.75,ES,1615179176
187,34.4133,-119.861,55.4,76,90,1.68,US,1615179176
188,-34.5833,150.8552,78.01,78,100,8.01,AU,1615179176
189,38.7333,-27.0667,62.01,100,75,8.41,PT,1615179176
190,61.9449,76.6625,11.48,96,100,9.01,RU,1615179177
191,57.79,-152.4072,35.6,64,1,4.61,US,1615179177
192,20.5169,-13.0499,59.32,47,0,11.59,MR,1615179177
193,57.0531,-135.33,42.8,70,75,3.56,US,1615179177
194,9.9399,76.2602,87.8,62,4,3.44,IN,1615179178
195,59.7,150.1667,1.13,81,0,3.6,RU,1615179178
196,-36.8927,-60.3225,69.01,93,100,1.01,AR,1615179030
197,31.2656,56.8055,60.98,29,0,3.51,IR,1615179178
198,57.1437,-2.0981,41.0,100,90,1.14,GB,1615178931
199,27.6667,-105.1667,60.85,37,1,8.28,MX,1615179179
200,-17.8786,36.8883,73.4,100,20,6.91,MZ,1615179179
201,60.1432,-45.2371,30.36,93,100,17.13,GL,1615179179
202,-33.5906,26.891,66.99,89,35,3.0,ZA,1615179179
203,66.5606,67.7975,-24.25,86,100,12.01,RU,1615179180
204,68.7098,-52.8699,9.01,96,100,3.44,GL,1615179180
205,-19.8436,34.8389,75.2,100,40,5.75,MZ,1615179180
206,37.4725,-4.4421,51.01,80,7,1.41,ES,1615179180
207,-22.9661,-42.0278,73.24,91,100,3.65,BR,1615179015
208,2.9167,73.5667,82.87,73,3,8.93,MV,1615179180
209,56.7,36.7667,16.34,96,100,10.94,RU,1615179181
210,-35.3333,-72.4167,63.55,76,0,10.33,CL,1615179181
211,54.4299,31.8996,19.11,97,66,9.62,RU,1615179181
212,-22.8989,-49.6325,66.29,95,41,3.74,BR,1615179182
213,7.0419,134.2556,75.2,100,90,6.91,PW,1615179182
214,4.423,-7.3528,77.61,89,8,6.35,CI,1615179182
215,-28.65,153.6167,75.99,88,75,6.91,AU,1615179024
216,42.1584,-72.3287,25.0,58,1,6.91,US,1615179182
217,-20.4081,57.7,80.6,83,20,6.91,MU,1615179182
218,60.34,102.2797,16.07,94,100,12.93,RU,1615179183
219,1.0,-52.0,70.2,98,100,1.95,BR,1615179183
220,40.4272,71.7189,50.0,62,80,2.3,UZ,1615179183
221,-35.1667,173.1667,66.6,62,37,12.28,NZ,1615179183
222,40.4163,-120.653,44.6,53,1,10.36,US,1615179183
223,28.6835,-17.7642,64.4,72,0,10.36,ES,1615178959
224,-9.1667,-60.6333,72.19,96,33,0.67,BR,1615179184
225,20.8947,-156.47,75.2,69,40,20.71,US,1615179083
226,64.8945,-23.7142,40.5,85,100,21.9,IS,1615179184
227,44.1003,-70.2148,23.0,58,1,3.44,US,1615178965
228,46.6166,10.7002,33.01,93,0,2.3,IT,1615179185
